run,proxy,no-proxy
1,4938.34,3060.54
2,9485.3,3072.34
3,6266.73,3018.78
4,3964.8,3106.88
5,3756.26,3091.15
6,3851.32,3071.62
7,4098.4,3022.23
8,3084.19,3122.22
9,3294.51,3072.26
10,3221.74,3174.33
11,3105.41,3071.15
12,3115.2,3072.53
13,3099.86,3019.58
14,4424.05,3053.15
15,3080.77,3023.62
16,3678.06,3040.3
17,3078.32,3120.64
18,3293.31,3026.25
19,3190.66,3016.71
20,3435.85,3070.79
21,3082.12,3071.95
22,3989.16,3073.22
23,4301.31,3028.06
24,3080.23,3019.26
25,3995.42,3066.1
26,3117.9,3070.54
27,3952.53,3070.55
28,3922.98,3071.78
29,3194.71,3073.94
30,3775.2,3071.02
31,3956.42,3072.43
32,3093.76,3071.65
33,4485.16,3025.98
34,3078.48,3116.97
35,3783.39,3073.65
36,4197.38,3071.58
37,3381.69,3072.49
38,3683.49,3027.9
39,3151.31,3115.57
40,3996.78,3072.52
41,3094.44,3072.16
42,3786.79,3072.54
43,3789.6,3071.01
44,4299.82,3071.7
45,3150.3,3072.96
46,4427.55,3020.51
47,3126.17,3123.11
48,3837.01,3072.63
49,3687.41,3071.1
50,4607.71,3072.79
